Node,AttackType,TimeStep,InitialEnergy,EnergyLevel,EnergyDrained,ActualEnergyConsumed,ActualAttackSuccessRate,AttackDuration
69,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
72,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
94,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
97,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
98,PhysicalCapture,23,2000,0,-3.4658021514295,-3.4658021514295,-0.0352656096904311,36
1,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
25,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
44,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
49,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
58,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
69,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
72,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
94,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
97,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
98,PhysicalCapture,24,2000,0,-3.45956370755692,-3.45956370755692,-0.0352010272409295,36
1,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
25,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
44,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
49,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
58,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
69,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
72,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
94,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
97,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
98,PhysicalCapture,25,2000,0,-3.45333649288332,-3.45333649288332,-0.03513656505778,36
1,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
25,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
44,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
49,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
58,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
69,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
72,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
94,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
97,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
98,PhysicalCapture,26,2000,0,-3.44712048719613,-3.44712048719613,-0.0350722229098024,36
1,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
25,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
44,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
49,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
58,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
69,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
72,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
94,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
97,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
98,PhysicalCapture,27,2000,0,-3.44091567031918,-3.44091567031918,-0.0350080005662865,36
1,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
25,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
44,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
49,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
58,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
69,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
72,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
94,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
97,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
98,PhysicalCapture,28,2000,0,-3.4347220221126,-3.4347220221126,-0.034943897796992,36
1,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
25,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
44,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
49,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
58,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
69,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
72,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
94,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
97,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
98,PhysicalCapture,29,2000,0,-3.4285395224728,-3.4285395224728,-0.0348799143721465,36
1,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
25,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
44,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
49,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
58,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
69,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
72,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
94,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
97,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
98,PhysicalCapture,30,2000,0,-3.42236815133235,-3.42236815133235,-0.0348160500624446,36
1,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
25,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
44,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
49,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
58,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
69,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
72,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
94,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
97,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
98,PhysicalCapture,31,2000,0,-3.41620788865995,-3.41620788865995,-0.0347523046390477,36
1,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
25,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
44,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
49,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
58,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
69,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
72,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
94,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
97,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
98,PhysicalCapture,32,2000,0,-3.41005871446036,-3.41005871446036,-0.0346886778735815,36
1,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
25,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
44,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
49,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
58,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
69,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
72,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
94,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
97,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
98,PhysicalCapture,33,2000,0,-3.40392060877434,-3.40392060877434,-0.0346251695381365,36
1,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
25,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
44,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
49,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
58,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
69,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
72,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
94,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
97,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
98,PhysicalCapture,34,2000,0,-3.39779355167854,-3.39779355167854,-0.0345617794052662,36
1,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
25,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
44,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
49,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
58,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
69,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
72,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
94,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
97,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
98,PhysicalCapture,35,2000,0,-3.39167752328552,-3.39167752328552,-0.0344985072479855,36
1,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
25,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
44,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
49,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
58,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
69,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
72,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
94,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
97,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
98,PhysicalCapture,36,2000,0,-3.38557250374361,-3.38557250374361,-0.0344353528397714,36
47,Sinkhole,1,2000,942.794831040795,1057.20516895921,1057.20516895921,0.999974377807554,38
48,Sinkhole,1,2000,1283.99316942974,716.00683057026,716.00683057026,0.999222998522227,38
92,Sinkhole,1,2000,998.99176039782,1001.00823960218,1001.00823960218,0.999955055510486,38
95,Sinkhole,1,2000,775.91772636924,1224.08227363076,1224.08227363076,0.999995170766199,38
47,Sinkhole,2,2000,0,938.87479709105,938.87479709105,0.999916339864384,38
48,Sinkhole,2,2000,564.066304909735,716.00683057026,716.00683057026,0.999222998522227,38
92,Sinkhole,2,2000,0,995.071726448076,995.071726448076,0.999952306587126,38
95,Sinkhole,2,2000,0,771.997692419495,771.997692419495,0.999556129153538,38
47,Sinkhole,3,2000,0,-3.84375486091468,-3.84375486091468,-0.0391858277311412,38
48,Sinkhole,3,2000,0,560.22255004882,560.22255004882,0.996310356730326,38
92,Sinkhole,3,2000,0,-3.84375486091468,-3.84375486091468,-0.0391858277311412,38
95,Sinkhole,3,2000,0,-3.84375486091468,-3.84375486091468,-0.0391858277311412,38
47,Sinkhole,4,2000,0,-3.82509352548353,-3.82509352548353,-0.0389919198715361,38
48,Sinkhole,4,2000,0,-3.82509352548353,-3.82509352548353,-0.0389919198715361,38
92,Sinkhole,4,2000,0,-3.82509352548353,-3.82509352548353,-0.0389919198715361,38
95,Sinkhole,4,2000,0,-3.82509352548353,-3.82509352548353,-0.0389919198715361,38
47,Sinkhole,5,2000,0,-3.81774934591461,-3.81774934591461,-0.0389156172411695,38
48,Sinkhole,5,2000,0,-3.81774934591461,-3.81774934591461,-0.0389156172411695,38
92,Sinkhole,5,2000,0,-3.81774934591461,-3.81774934591461,-0.0389156172411695,38
95,Sinkhole,5,2000,0,-3.81774934591461,-3.81774934591461,-0.0389156172411695,38
47,Sinkhole,6,2000,0,-3.81041926717045,-3.81041926717045,-0.0388394666993217,38
48,Sinkhole,6,2000,0,-3.81041926717045,-3.81041926717045,-0.0388394666993217,38
92,Sinkhole,6,2000,0,-3.81041926717045,-3.81041926717045,-0.0388394666993217,38
95,Sinkhole,6,2000,0,-3.81041926717045,-3.81041926717045,-0.0388394666993217,38
47,Sinkhole,7,2000,0,-3.80310326217748,-3.80310326217748,-0.0387634679321398,38
48,Sinkhole,7,2000,0,-3.80310326217748,-3.80310326217748,-0.0387634679321398,38
92,Sinkhole,7,2000,0,-3.80310326217748,-3.80310326217748,-0.0387634679321398,38
95,Sinkhole,7,2000,0,-3.80310326217748,-3.80310326217748,-0.0387634679321398,38
47,Sinkhole,8,2000,0,-3.7958013039141,-3.7958013039141,-0.0386876206264593,38
48,Sinkhole,8,2000,0,-3.7958013039141,-3.7958013039141,-0.0386876206264593,38
92,Sinkhole,8,2000,0,-3.7958013039141,-3.7958013039141,-0.0386876206264593,38
95,Sinkhole,8,2000,0,-3.7958013039141,-3.7958013039141,-0.0386876206264593,38
47,Sinkhole,9,2000,0,-3.78851336541059,-3.78851336541059,-0.0386119244698024,38
48,Sinkhole,9,2000,0,-3.78851336541059,-3.78851336541059,-0.0386119244698024,38
92,Sinkhole,9,2000,0,-3.78851336541059,-3.78851336541059,-0.0386119244698024,38
95,Sinkhole,9,2000,0,-3.78851336541059,-3.78851336541059,-0.0386119244698024,38
47,Sinkhole,10,2000,0,-3.781239419749,-3.781239419749,-0.0385363791503779,38
48,Sinkhole,10,2000,0,-3.781239419749,-3.781239419749,-0.0385363791503779,38
92,Sinkhole,10,2000,0,-3.781239419749,-3.781239419749,-0.0385363791503779,38
95,Sinkhole,10,2000,0,-3.781239419749,-3.781239419749,-0.0385363791503779,38
47,Sinkhole,11,2000,0,-3.77397944006308,-3.77397944006308,-0.0384609843570771,38
48,Sinkhole,11,2000,0,-3.77397944006308,-3.77397944006308,-0.0384609843570771,38
92,Sinkhole,11,2000,0,-3.77397944006308,-3.77397944006308,-0.0384609843570771,38
95,Sinkhole,11,2000,0,-3.77397944006308,-3.77397944006308,-0.0384609843570771,38
47,Sinkhole,12,2000,0,-3.76673339953816,-3.76673339953816,-0.0383857397794745,38
48,Sinkhole,12,2000,0,-3.76673339953816,-3.76673339953816,-0.0383857397794745,38
92,Sinkhole,12,2000,0,-3.76673339953816,-3.76673339953816,-0.0383857397794745,38
95,Sinkhole,12,2000,0,-3.76673339953816,-3.76673339953816,-0.0383857397794745,38
47,Sinkhole,13,2000,0,-3.75950127141105,-3.75950127141105,-0.0383106451078239,38
48,Sinkhole,13,2000,0,-3.75950127141105,-3.75950127141105,-0.0383106451078239,38
92,Sinkhole,13,2000,0,-3.75950127141105,-3.75950127141105,-0.0383106451078239,38
95,Sinkhole,13,2000,0,-3.75950127141105,-3.75950127141105,-0.0383106451078239,38
47,Sinkhole,14,2000,0,-3.75228302896994,-3.75228302896994,-0.0382357000330593,38
48,Sinkhole,14,2000,0,-3.75228302896994,-3.75228302896994,-0.0382357000330593,38
92,Sinkhole,14,2000,0,-3.75228302896994,-3.75228302896994,-0.0382357000330593,38
95,Sinkhole,14,2000,0,-3.75228302896994,-3.75228302896994,-0.0382357000330593,38
47,Sinkhole,15,2000,0,-3.74507864555431,-3.74507864555431,-0.0381609042467912,38
48,Sinkhole,15,2000,0,-3.74507864555431,-3.74507864555431,-0.0381609042467912,38
92,Sinkhole,15,2000,0,-3.74507864555431,-3.74507864555431,-0.0381609042467912,38
95,Sinkhole,15,2000,0,-3.74507864555431,-3.74507864555431,-0.0381609042467912,38
47,Sinkhole,16,2000,0,-3.73788809455485,-3.73788809455485,-0.0380862574413052,38
48,Sinkhole,16,2000,0,-3.73788809455485,-3.73788809455485,-0.0380862574413052,38
92,Sinkhole,16,2000,0,-3.73788809455485,-3.73788809455485,-0.0380862574413052,38
95,Sinkhole,16,2000,0,-3.73788809455485,-3.73788809455485,-0.0380862574413052,38
47,Sinkhole,17,2000,0,-3.73071134941331,-3.73071134941331,-0.0380117593095617,38
